Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7457.4501953125,7453.2099609375,7489.52001953125,0.27,3.91,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,0.6135,-0.0032,-1.8751,3.4462,20.646,13.3546,7575.3901,7609.7798,,-1.5569,-2.0018,
^DJI,52363.9609375,52235.03125,52477.9609375,0.3,5.93,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,0.8022,0.4172,2.5159,5.4616,24.7901,12.4047,53055.9102,53055.9102,,-1.3042,-1.3042,
^IXIC,25261.224609375,25247.8046875,25457.45703125,0.55,1.95,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,1.1427,-1.0149,-6.7398,1.482,29.9151,21.4212,26281.6094,27093.9004,,-3.8825,-6.7642,
^RUT,2946.10009765625,2912.18994140625,2948.409912109375,1.37,5.69,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,0.202,-0.9571,0.9166,,20.0686,18.3685,3009.54,3024.3701,,-2.108,-2.588,
^VIX,16.950000762939453,16.649999618530273,17.290000915527344,-0.82,0.82,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,-8.7729,-9.6963,5.6075,-0.2354,199.479,136.1214,20.66,22.22,,-17.9574,-23.7174,
^MOVE,70.87999725341797,68.16000366210938,70.87999725341797,3.99,-1.19,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,1.9123,8.3792,-11.2558,,84.8528,,77.77,,,-8.8595,,
^TNX,4.706000328063965,4.682000160217285,4.708000183105469,0.92,7.66,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,0.5771,3.6336,5.162,7.1982,12.7446,14.6974,4.706,4.706,,0.0,0.0,
^IRX,3.679999828338623,3.674999952316284,3.679999828338623,0.14,3.12,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,-3.2852,-0.7284,1.6575,2.6499,22.7503,9.9177,3.805,3.805,,-3.2852,-3.2852,
DX-Y.NYB,100.2229995727539,99.90899658203125,100.4020004272461,0.21,2.65,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,-1.2289,-0.5231,1.0313,2.1849,7.0962,4.6277,101.51,101.61,,-1.2679,-1.365,
^N225,64362.01953125,61948.23046875,65364.73046875,4.03,9.03,ALTO,,,,,,,,,,,,,,NONE,1.513,2.378,0.9363,0.06691,3.4462,0.3236,70.88,,999,,,none,,,,,,,,,,-0.3856,-3.7009,-3.5547,,53.8162,34.2561,69744.0703,72366.3438,,-7.7169,-11.0608,
