Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7413.18017578125,7382.740234375,7480.56982421875,0.02,3.59,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-0.4044,-1.3593,-1.4089,,9.4968,12.9837,7575.3901,7609.7798,,-2.1413,-2.5835,
^DJI,52210.078125,51985.37890625,52607.78125,0.51,6.45,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.7153,-0.5497,3.4648,,10.8676,11.6938,53055.9102,53055.9102,,-1.5942,-1.5942,
^IXIC,24932.080078125,24774.869140625,25261.91015625,-0.18,0.44,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-2.2581,-3.6374,-6.4679,,13.8156,20.8991,26281.6094,27093.9004,,-5.1349,-7.979,
^RUT,2948.0400390625,2931.43994140625,2972.4599609375,0.62,5.99,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.1907,-0.1737,0.9416,,10.6732,18.2355,3024.3701,3024.3701,,-2.5238,-2.5238,
^VIX,18.670000076293945,17.530000686645508,19.93000030517578,0.48,3.86,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.1072,8.7995,9.759,3.6071,106.7225,129.4773,18.77,22.22,,-0.5328,-15.9766,
^MOVE,70.87999725341797,68.16000366210938,70.87999725341797,3.99,3.85,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.9123,8.3792,-11.2558,,84.8528,,77.77,,,-8.8595,,
^TNX,4.640999794006348,4.630000114440918,4.664999961853027,-0.81,7.29,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.9352,0.6943,3.294,,13.7996,15.1153,4.703,4.703,,-1.3183,-1.3183,
^IRX,3.796999931335449,3.796999931335449,3.819999933242798,-0.21,6.02,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,2.4831,1.8509,6.0022,,11.5102,7.7835,3.805,3.805,,-0.2103,-0.2103,
DX-Y.NYB,101.47000122070312,101.25,101.52999877929688,0.04,3.29,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.7146,0.4952,2.1647,,2.3254,4.6257,101.47,101.61,,0.0,-0.1378,
^N225,64931.19140625,64123.3984375,65220.69140625,0.5,7.52,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.2318,-5.2898,-0.105,,24.2228,34.0402,70474.9609,72366.3438,,-7.8663,-10.2743,
^MERV,3305316.0,3271589.0,3313508.0,0.65,15.58,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,2.5333,2.1643,13.0271,,33.6594,33.539,3379772.0,3379772.0,,-2.203,-2.203,
^NYA,24098.8203125,23990.880859375,24193.5,0.45,5.47,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.8132,0.8485,3.4484,,5.039,10.1543,24098.8203,24098.8203,,0.0,0.0,
^HSI,25207.1796875,24938.33984375,25276.9609375,0.98,-2.51,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.2551,4.1029,-1.5323,,19.3044,19.2196,25210.8105,26626.2793,,-0.0144,-5.3297,
^TWII,43634.19140625,42969.48046875,43686.1484375,-0.05,10.4,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,2.7903,-3.8482,0.25,,26.6871,32.7596,47018.9883,47741.5117,,-7.1988,-8.6032,
^KS11,6755.75,6557.39013671875,6806.27001953125,0.97,2.39,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,3.6751,-9.6334,-16.0517,,67.0979,68.9667,8476.4805,9114.5498,,-20.3001,-25.8795,
^GDAXI,25361.029296875,25361.029296875,25560.400390625,1.04,5.56,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,2.0701,0.9826,1.0712,5.5906,20.8826,16.4912,25817.8906,25817.8906,,-1.7696,-1.7696,
^FTSE,10781.7998046875,10736.099609375,10820.900390625,0.42,4.72,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,2.4419,2.7004,3.4126,4.4637,13.6487,12.2538,10781.7998,10781.7998,,0.0,0.0,
^AEX,1081.1300048828125,1081.1300048828125,1099.1199951171875,-0.82,7.42,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-0.862,-0.3934,4.2365,8.0039,13.1142,12.4291,1102.38,1102.38,,-1.9276,-1.9276,
^IBEX,19741.30078125,19728.80078125,19913.900390625,0.8,11.84,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,2.7823,2.0977,7.9981,11.0628,22.2114,15.8744,19852.4004,19852.4004,,-0.5596,-0.5596,
FTSEMIB.MI,52055.0,51862.0,52254.0,0.49,26.5,ALTO,,,,,,,,,,,,,,YAHOO,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.3702,-1.4278,4.4757,8.3576,28.7712,15.7887,52959.0,52959.0,52959.0,-1.707,-1.707,-1.707
^SSMI,14421.9697265625,14366.6298828125,14472.740234375,0.66,9.8,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.1758,1.092,6.7918,,10.7838,10.9726,14424.2402,14424.2402,,-0.0157,-0.0157,
^OMXC25,1833.3599853515625,1832.06005859375,1843.3499755859375,0.13,5.86,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-3.2691,-2.9213,2.6299,,16.8471,,1912.84,1912.84,,-4.1551,-4.1551,
^GSPTSE,35568.1015625,35317.0,35592.1015625,0.56,5.43,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.7385,0.8947,3.3593,5.1744,10.3439,11.5062,35568.1016,35568.1016,,0.0,0.0,
^AXJO,8894.0,8772.2998046875,8894.0,1.39,1.71,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.1682,0.9707,2.0223,2.1043,13.928,12.3665,8894.0,8966.2998,,0.0,-0.8064,
^MXX,67157.90625,66342.7109375,67427.5703125,1.17,-0.97,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.5655,1.7959,-2.4807,-0.1656,19.3017,15.6129,67466.4609,70246.2969,,-0.4573,-4.3965,
^BVSP,175335.0,174048.0,175555.0,0.74,-7.26,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.1328,-0.2299,-0.2327,-7.5135,26.9489,16.369,177866.0,187691.0,,-1.423,-6.5832,
HYG,79.2699966430664,79.23999786376953,79.4000015258789,0.05,4.73,ALTO,,10.89,1320.5,0.9,,,,,,,,,,YAHOO,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-0.5146,-0.3144,-0.1682,-0.0192,2.9726,3.6155,79.87,79.87,,-0.7512,-0.7512,
LQD,106.51000213623047,106.43000030517578,106.62000274658203,0.26,2.68,ALTO,,32.12,,0.79,,,,,,,,,,YAHOO,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-0.5973,-0.4207,-1.3702,-1.7244,4.3104,5.3086,109.3158,109.3158,,-2.5667,-2.5667,
TLT,83.75,83.5199966430664,83.87000274658203,0.6,2.23,ALTO,,,-4162.5,0.56,,,,,,,,,,YAHOO,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-0.1669,-0.262,-0.8344,-2.3163,6.74,8.9629,87.1282,87.1282,,-3.8773,-3.8773,
GC=F,4074.5,4072.699951171875,4107.89990234375,0.17,-12.59,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,1.6009,1.939,-9.4636,,28.4125,24.2969,4155.1001,4720.3999,,-1.9398,-13.6832,
HG=F,6.339000225067139,6.336999893188477,6.364500045776367,0.3,5.59,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.635,1.7006,-0.3459,,19.1544,28.5335,6.511,6.6495,,-2.6417,-4.6695,
CL=F,82.61000061035156,81.62999725341797,86.19999694824219,-7.5,-14.02,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-0.7449,5.7205,-12.0141,,95.272,56.0823,92.19,108.66,,-10.3916,-23.9739,
ZS=F,1208.5,1205.5,1244.75,-3.17,2.91,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-1.4274,0.5408,1.8971,,31.6402,20.2293,1248.0,1248.0,,-3.1651,-3.1651,
ZC=F,451.75,448.75,461.25,-2.69,-1.7,ALTO,,,,,,,,,,,,,,NONE,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,0.5006,3.1982,-1.2568,,31.2254,26.0458,464.25,477.0,,-2.6925,-5.2935,
BTC-USD,63724.8984375,63562.484375,65658.3359375,-2.47,-30.07,ALTO,1283408527360.0,,,,,,,,,,,,,YAHOO,-2.3416,-1.8162,-2.6919,0.063906,3.4626,0.2393,70.88,,999,,,none,,,,,,,,,,-3.5944,-0.2732,-3.8688,-17.5402,28.8404,32.1249,66505.125,73754.8359,96929.3281,-4.1805,-13.599,-34.2563
