Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7498.9599609375,7485.85009765625,7525.93994140625,-0.14,3.61,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.9698,0.2172,0.8878,,12.3257,12.9189,7575.3901,7609.7798,,-1.0089,-1.4563,
^DJI,52218.578125,52148.87109375,52511.2109375,-0.01,4.01,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.8357,-0.248,4.4176,,10.8394,11.941,53055.9102,53055.9102,,-1.5782,-1.5782,
^IXIC,25690.90234375,25681.32421875,25841.306640625,-0.57,3.24,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-2.2015,-0.6948,-2.2057,,17.892,20.5101,26281.6094,27093.9004,,-2.2476,-5.1783,
^RUT,2959.938232421875,2955.599609375,2983.42724609375,-0.92,4.78,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.5484,0.12,5.0603,,17.7324,18.8726,3024.3701,3024.3701,,-2.1304,-2.1304,
^VIX,16.639999389648438,16.639999389648438,19.489999771118164,-2.4,-13.94,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,6.1902,-1.5385,-0.716,-12.0507,138.511,129.3313,18.89,22.22,,-11.9111,-25.1125,
^MOVE,76.30500030517578,74.67070007324219,76.30500030517578,7.65,10.83,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-1.8838,16.0356,-11.3454,,112.0387,,77.77,86.07,,-1.8838,-11.3454,
^TNX,4.6570000648498535,4.631999969482422,4.6610002517700195,0.63,6.57,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,2.4642,1.926,1.8591,,12.4541,15.1846,4.657,4.667,,0.0,-0.2143,
^IRX,3.745000123977661,3.7300000190734863,3.752999782562256,0.4,2.29,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,1.5456,0.5909,5.2854,,4.805,7.2227,3.745,3.745,,0.0,0.0,
DX-Y.NYB,101.14099884033203,101.0199966430664,101.197998046875,-0.04,0.7,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,0.6378,0.0901,2.0492,,2.0995,4.6342,101.61,101.61,,-0.4616,-0.4616,
^N225,66232.1875,64203.46875,66232.1875,3.26,9.27,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-1.5028,-5.0267,7.3731,,54.8299,,72366.3438,72366.3438,,-8.4765,-8.4765,
^MERV,3379771.5,3281561.5,3395937.25,2.98,14.71,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,2.6897,4.8317,21.2032,,18.1943,33.274,3379771.5,3379771.5,,0.0,0.0,
^NYA,23919.712890625,23890.185546875,24017.01953125,0.12,2.33,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,0.1976,0.5427,3.9005,,11.5238,10.7149,24075.1191,24075.1191,,-0.6455,-0.6455,
^HSI,25132.2890625,24991.390625,25253.650390625,-0.04,-5.83,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,3.252,6.9601,-2.5799,,28.5022,19.1531,25143.0508,26626.2793,,-0.0428,-5.611,
^TWII,44232.87109375,42566.9296875,44232.87109375,4.2,14.89,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-1.129,-4.9908,10.5246,,69.7136,32.4169,47100.6484,47741.5117,,-6.0886,-7.3492,
^KS11,6747.9501953125,6429.02978515625,6836.85986328125,3.56,3.26,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.8665,-16.1884,-7.2021,,96.8678,,8930.2998,9114.5498,,-24.4376,-25.9651,
^GDAXI,25011.349609375,24817.33984375,25011.349609375,0.66,1.49,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.5395,-1.7824,0.4934,3.3745,7.5053,16.5962,25817.8906,25817.8906,,-3.124,-3.124,
^FTSE,10585.900390625,10483.099609375,10585.900390625,0.58,-0.84,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,0.5366,-0.7501,1.3635,,9.5748,12.4472,10679.0,10679.0,,-0.8718,-0.8718,
^AEX,1096.739990234375,1088.7099609375,1096.739990234375,0.57,5.51,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,0.6313,1.6441,4.9462,7.3909,10.8346,12.6759,1102.38,1102.38,,-0.5116,-0.5116,
^IBEX,19379.80078125,19208.0,19388.0,0.9,5.74,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,0.1199,-1.3258,7.7536,7.6273,9.003,16.4367,19852.4004,19852.4004,,-2.3806,-2.3806,
FTSEMIB.MI,52285.0,51963.0,52296.0,0.81,28.29,BAJO,,,,,,,,,,,,,,YAHOO,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-1.0934,-0.3241,5.6028,9.4172,11.3637,15.5882,52959.0,52959.0,52959.0,-1.2727,-1.2727,-1.2727
^SSMI,14298.259765625,14205.0,14328.76953125,0.31,7.53,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,0.3967,-0.4331,6.335,,8.4405,11.0127,14424.2402,14424.2402,,-0.8734,-0.8734,
^OMXC25,1849.8177490234375,1840.441650390625,1884.3076171875,-2.02,4.92,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-2.9502,-0.8656,5.3715,,12.6758,,1912.84,,,-3.2947,,
^GSPTSE,35485.109375,35419.5703125,35730.83984375,0.33,2.62,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,0.1946,1.5723,2.9407,4.506,13.6512,12.07,35485.1094,35485.1094,,0.0,0.0,
^AXJO,8793.2998046875,8733.0,8803.2998046875,0.02,-2.45,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.1726,-0.1204,1.9903,-0.5688,3.8763,12.0563,8844.4004,8966.2998,,-0.5778,-1.9294,
^MXX,67303.828125,66634.2265625,67656.296875,0.88,-4.11,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,1.3616,1.0422,-1.4025,-1.934,12.4146,15.8964,67640.5938,70246.2969,,-0.4979,-4.1888,
^BVSP,177547.5625,173328.046875,177641.234375,2.44,-9.84,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,0.873,4.0395,0.7591,-7.9535,20.1261,16.8716,177866.0,188619.0,,-0.179,-5.8697,
HYG,79.5199966430664,79.4800033569336,79.6500015258789,-0.16,2.8,BAJO,,10.93,1325.33,0.9,,,,,,,,,,YAHOO,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.3634,-0.1758,0.5479,0.4334,1.6894,3.6705,79.87,79.87,,-0.4382,-0.4382,
LQD,106.66999816894531,106.61499786376953,106.82499694824219,-0.17,0.66,BAJO,,32.26,,0.79,,,,,,,,,,YAHOO,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.8459,-0.9288,-0.4625,-1.5857,2.9767,5.3484,109.3158,109.3158,,-2.4203,-2.4203,
TLT,83.44000244140625,83.38009643554688,83.69999694824219,-0.26,-0.49,BAJO,,,-4172.0,0.56,,,,,,,,,,YAHOO,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,-0.9497,-1.0906,0.1997,-2.5204,7.2538,8.9839,87.1282,87.1282,,-4.2331,-4.2331,
GC=F,4125.0,4074.60009765625,4133.0,1.32,-14.72,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,2.003,1.3289,-8.9665,,11.3148,24.1787,4155.1001,4720.3999,,-0.7244,-12.6133,
HG=F,6.479499816894531,6.4704999923706055,6.487500190734863,-0.48,3.99,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,2.9554,7.0196,3.0045,,32.3567,28.3749,6.511,6.6495,,-0.4838,-2.5566,
CL=F,87.91999816894531,87.31999969482422,88.4000015258789,3.54,-7.31,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,10.4523,19.5865,-10.5231,,25.2761,55.0927,87.92,108.66,,0.0,-19.0871,
ZS=F,1238.25,1217.75,1240.75,1.54,4.45,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,2.9944,3.6192,3.209,,16.5126,19.1972,1238.25,1238.25,,0.0,0.0,
ZC=F,484.25,474.75,486.5,6.96,4.72,BAJO,,,,,,,,,,,,,,NONE,1.9909,3.4602,1.0113,0.063922,6.1573,-0.2429,76.31,,999,,,none,,,,,,,,,,8.2123,11.3859,3.9721,,48.6031,29.0005,484.25,484.25,,0.0,0.0,
