Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7394.259765625,7341.25,7426.3798828125,-0.46,4.15,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-1.3962,-2.3525,-2.2393,,4.6197,12.9876,7575.3901,7609.7798,,-2.391,-2.8321,
^DJI,51954.96875,51793.23046875,52674.2109375,-1.5,6.86,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-0.5048,-1.3363,2.538,,17.6754,12.0178,53055.9102,53055.9102,,-2.0751,-2.0751,
^IXIC,24803.77734375,24492.298828125,24899.98046875,-0.29,1.06,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-3.4531,-5.5786,-7.8525,,3.375,20.827,26281.6094,27093.9004,,-5.6231,-8.4525,
^RUT,2937.41748046875,2904.72216796875,2952.381591796875,-0.55,7.75,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-0.7609,-1.3051,0.0289,,8.4115,18.2136,3012.5901,3024.3701,,-2.4953,-2.8751,
^VIX,18.770000457763672,18.049999237060547,20.34000015258789,3.08,0.32,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,12.8005,19.783,19.2503,-0.2126,36.8007,128.366,18.77,22.22,,0.0,-15.5265,
^MOVE,70.87999725341797,68.16000366210938,70.87999725341797,3.99,-4.11,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,1.9123,8.3792,-11.2558,,84.8528,,77.77,,,-8.8595,,
^TNX,4.629000186920166,4.618000030517578,4.654999732971191,0.54,5.3,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-0.6012,1.8482,3.9057,,10.1603,14.9282,4.703,4.703,,-1.5735,-1.5735,
^IRX,3.697000026702881,3.697000026702881,3.7799999713897705,-1.68,3.51,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-1.2817,0.244,2.9805,,12.8217,8.8103,3.805,3.805,,-2.8384,-2.8384,
DX-Y.NYB,101.16400146484375,101.06600189208984,101.49500274658203,-0.21,2.8,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-0.0158,0.2219,1.9696,,3.3909,4.272,101.47,101.61,,-0.3016,-0.4389,
^N225,62364.921875,61923.6015625,64573.1796875,-3.95,5.72,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-5.839,-7.254,-3.5988,,35.8965,,70474.9609,72366.3438,,-11.5077,-13.8205,
^MERV,3215495.5,3214130.0,3273144.0,-1.25,13.8,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,-4.8606,-2.3016,4.0783,,15.4958,33.4389,3379772.0,3379772.0,,-4.8606,-4.8606,
^NYA,24132.537109375,23987.708984375,24229.66796875,-0.4,6.6,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,0.8898,1.0892,3.5631,,7.127,10.0782,24229.6699,24229.6699,,-0.4009,-0.4009,
^HSI,25310.849609375,25069.849609375,25440.6796875,0.41,-2.54,ALTO,,,,,,,,,,,,,,NONE,-0.2019,1.5235,-1.3522,0.063899,3.5806,0.299,70.88,,999,,,none,,,,,,,,,,0.7105,3.9856,-0.0686,,15.9078,19.0664,25310.8496,26626.2793,,0.0,-4.9403,
