Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7449.1201171875,7397.56982421875,7456.56005859375,0.55,2.7,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,-0.1149,-1.6668,-0.3258,,14.6817,13.176,7575.3901,7609.7798,,-1.6668,-2.1112,
^DJI,52060.26953125,51682.359375,52111.62890625,0.67,4.48,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,-0.1652,-1.0957,2.9272,,12.6412,12.1213,53055.9102,53055.9102,,-1.8766,-1.8766,
^IXIC,25158.62890625,24918.09375,25187.20703125,0.08,0.03,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,-1.417,-4.2729,-4.4995,,22.7778,20.9257,26281.6094,27093.9004,,-4.2729,-7.1428,
^RUT,2953.889892578125,2927.490234375,2955.927490234375,0.47,4.73,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,-0.2812,-0.8033,2.9506,,17.875,18.7103,3024.3701,3024.3701,,-2.3304,-2.3304,
^VIX,17.59000015258789,17.489999771118164,19.049999237060547,-5.94,-7.25,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,-6.2866,17.0326,6.0277,-5.9861,148.556,130.134,18.77,22.22,,-6.2866,-20.8371,
^MOVE,70.87999725341797,68.16000366210938,70.87999725341797,3.99,4.58,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,1.9123,8.3792,-11.2558,,84.8528,,77.77,,,-8.8595,,
^TNX,4.654999732971191,4.651000022888184,4.690999984741211,-1.02,6.74,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,2.5105,1.8822,2.1281,,14.3383,15.1995,4.703,4.703,,-1.0206,-1.0206,
^IRX,3.7929999828338623,3.7880001068115234,3.7929999828338623,-0.18,4.3,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,2.3199,2.6522,5.802,,10.8979,7.7944,3.8,3.8,,-0.1842,-0.1842,
DX-Y.NYB,101.3290023803711,101.24800109863281,101.52999877929688,-0.1,1.6,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,0.5747,0.3556,2.0228,,2.9114,4.6352,101.43,101.61,,-0.0996,-0.2765,
^N225,66422.6015625,66208.65625,67022.3671875,0.46,9.97,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,-3.3874,-0.5933,1.9405,,47.6842,,72366.3438,72366.3438,,-8.2134,-8.2134,
^MERV,3292864.75,3281431.25,3321501.25,-0.8,14.65,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,2.9041,0.3854,15.6926,,35.2131,33.6029,3379772.0,3379772.0,,-2.5714,-2.5714,
^NYA,24065.572265625,23874.271484375,24085.595703125,0.8,3.67,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,1.0438,0.5873,3.6159,,8.5344,10.7608,24075.1191,24075.1191,,-0.0397,-0.0397,
^HSI,24963.23046875,24812.5,25031.33984375,-0.98,-5.17,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,1.6325,3.26,-2.5103,,16.8656,19.4379,25210.8105,26626.2793,,-0.982,-6.2459,
^TWII,43654.83984375,43607.3984375,44769.390625,-2.67,10.87,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,2.305,-3.7477,0.0239,,45.281,32.8454,47018.9883,47741.5117,,-7.1549,-8.56,
^KS11,7096.89013671875,6892.64013671875,7108.43994140625,4.4,8.33,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,-2.5743,-2.0685,-9.1957,,63.4897,,8930.2998,9114.5498,,-20.5302,-22.1367,
^GDAXI,25099.0,24821.669921875,25097.4296875,1.36,2.76,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,1.0794,0.1273,-0.313,4.2165,20.0265,16.7182,25817.8906,25817.8906,,-2.7845,-2.7845,
^FTSE,10736.23046875,10599.099609375,10738.830078125,0.91,2.18,MODERADO,,,,,,,,,,,,,,NONE,1.2146,2.2237,0.5419,0.06451,4.7908,0.2536,70.88,,999,,,none,,,,,,,,,,1.2814,2.2761,2.2011,3.4409,13.6695,12.2387,10736.2305,10736.2305,,0.0,0.0,
