Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7512.0498046875,7467.85986328125,7512.64990234375,0.92,5.89,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,-0.4181,0.1093,2.1546,,13.0109,12.9219,7575.3901,7609.7798,,-0.8361,-1.2843,
^DJI,52328.12109375,51890.1015625,52329.94921875,0.94,6.01,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,-0.3431,-1.1281,6.0049,,12.2237,12.0018,53055.9102,53055.9102,,-1.3717,-1.3717,
^IXIC,25842.595703125,25672.828125,25856.658203125,1.31,6.07,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,-1.0128,0.0926,-0.1087,,20.9044,20.4748,26281.6094,27093.9004,,-1.6704,-4.6184,
^RUT,2976.563232421875,2949.44482421875,2977.5234375,1.16,7.2,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,0.3981,-0.1987,8.3541,,12.8558,18.6447,3024.3701,3024.3701,,-1.5807,-1.5807,
^VIX,17.149999618530273,17.110000610351562,17.989999771118164,-8.04,-12.51,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,3.9394,6.3236,-1.6628,-12.0513,139.9427,129.0904,19.49,22.22,,-12.0062,-22.8173,
^MOVE,70.87999725341797,68.16000366210938,70.87999725341797,3.99,-0.32,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,1.9123,8.3792,-11.2558,,84.8528,77.8638,77.77,86.07,,-8.8595,-17.6484,
^TNX,4.625999927520752,4.5980000495910645,4.640000343322754,0.61,7.33,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,0.8942,2.1418,-0.8785,,12.3279,15.175,4.626,4.667,,0.0,-0.8785,
^IRX,3.7300000190734863,3.7200000286102295,3.7300000190734863,0.67,3.21,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,0.8108,0.1342,4.3357,,4.7508,7.1961,3.732,3.732,,-0.0536,-0.0536,
DX-Y.NYB,101.13099670410156,100.86299896240234,101.16000366210938,0.14,2.31,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,0.1892,-0.0089,1.8439,,1.6103,4.6282,101.61,101.61,,-0.4714,-0.4714,
^N225,64141.12109375,62704.6015625,66441.7734375,-4.03,7.62,BAJO,,,,,,,,,,,,,,NONE,0.8529,2.8714,-0.4927,0.064349,5.6669,0.2152,70.88,,999,,,none,,,,,,,,,,-6.4422,-8.0336,7.2515,,42.5272,,72366.3438,72366.3438,,-11.3661,-11.3661,
