Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7414.7001953125,7376.0,7450.1201171875,-1.12,3.57,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,-1.5805,-1.7093,-0.4166,,13.0334,13.1052,7575.3901,7609.7798,,-2.1212,-2.5635,
^DJI,51782.109375,51542.05859375,51885.140625,-0.84,4.28,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,-1.4668,-1.3438,2.9759,,11.1435,12.0946,53055.9102,53055.9102,,-2.4009,-2.4009,
^IXIC,25163.576171875,24954.7734375,25358.28125,-2.05,2.23,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,-2.7756,-3.9811,-4.2959,,21.9342,20.8806,26281.6094,27093.9004,,-4.2541,-7.1246,
^RUT,2933.2216796875,2924.333251953125,2952.54150390625,-0.9,4.96,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,-1.3901,-1.9822,3.1571,,18.8068,18.807,3024.3701,3024.3701,,-3.0138,-3.0138,
^VIX,19.520000457763672,17.31999969482422,20.309999465942383,17.31,0.35,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,16.6766,23.2323,16.8862,1.0875,176.5975,133.6711,19.52,22.22,,0.0,-12.1512,
^MOVE,70.87999725341797,68.16000366210938,70.87999725341797,3.99,3.96,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,1.9123,8.3792,-11.2558,,84.8528,,77.77,,,-8.8595,,
^TNX,4.699000358581543,4.697000026702881,4.7139997482299805,0.9,7.96,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,2.8453,3.525,2.464,,4.6327,15.2581,4.699,4.699,,0.0,0.0,
^IRX,3.7950000762939453,3.754999876022339,3.7970001697540283,1.34,4.83,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,2.6508,3.069,5.9464,,9.2216,7.6771,3.795,3.795,,0.0,0.0,
DX-Y.NYB,101.447998046875,100.93800354003906,101.54399871826172,0.3,1.94,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,0.7128,0.5033,2.2764,,2.3715,4.661,101.448,101.61,,0.0,-0.1594,
^N225,66115.6015625,65955.6015625,67592.203125,-0.18,11.06,BAJO,,,,,,,,,,,,,,NONE,1.3786,2.7703,0.4508,0.064343,3.8779,0.2393,70.88,,999,,,none,,,,,,,,,,-2.403,-3.1372,4.3836,,51.1871,,72366.3438,72366.3438,,-8.6376,-8.6376,
