Ticker,Precio,Low,High,Change (%),RS 20D,Credit Stress,Market Cap,P/E,Forward P/E,P/Book,ROE,ROA,Operating Margin,Net Margin,FCF Yield,EV/EBITDA,Debt/Equity,Current Ratio,Piotroski,Fund Source,Grain_IS,ZC_Surprise,ZS_Surprise,SPX_Quarterly_Divisor,SPX_ROC_63d,z_MOVE_inv,MOVE_price,Earnings_Next_Date,Earnings_Days_To_Next,Earnings_Last_Date,Earnings_Days_Since,Earnings_Source,piotroski_roa_positive,piotroski_d_roa,piotroski_cfo_positive,piotroski_cfo_gt_ni,piotroski_d_leverage,piotroski_d_liquidity,piotroski_no_dilution,piotroski_d_margin,piotroski_d_turnover,roc_5d,roc_10d,roc_42d,roc_63d,vol_5d,vol_60d,high_20d,high_60d,high_252d,drawdown_20d,drawdown_60d,drawdown_252d
^GSPC,7457.68994140625,7431.259765625,7498.47021484375,-1.01,5.12,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-1.5537,-0.3414,0.664,,10.9291,12.9171,7575.3901,7609.7798,,-1.5537,-1.9986,
^DJI,52146.421875,51986.73828125,52610.96875,-0.77,5.92,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-0.932,-1.4247,5.2906,,7.1523,11.8369,53055.9102,53055.9102,,-1.7142,-1.7142,
^IXIC,25520.240234375,25250.630859375,25703.009765625,-1.4,4.76,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-2.897,-1.2094,-2.6879,,20.2383,20.6644,26517.9297,27093.9004,,-3.7623,-5.8082,
^RUT,2962.219970703125,2934.1201171875,2979.320068359375,-0.42,7.14,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-0.5235,-1.1311,6.0473,,6.1912,18.4841,3024.3701,3024.3701,,-2.055,-2.055,
^VIX,18.770000457763672,17.68000030517578,19.5,12.19,7.84,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,24.8836,16.2229,5.3311,7.3799,132.5405,128.3697,19.49,22.22,,-3.6942,-15.5265,
^MOVE,69.55000305175781,68.88999938964844,69.55000305175781,0.96,6.32,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,6.3456,3.6513,3.4201,,77.5659,,72.41,,,-3.9497,,
^TNX,4.540999889373779,4.511000156402588,4.550000190734863,-0.61,7.41,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-0.6128,1.2486,-1.1752,,9.7882,15.0216,4.609,4.667,,-1.4754,-2.6998,
^IRX,3.7070000171661377,3.684999942779541,3.7070000171661377,0.27,3.43,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,0.3248,1.0633,3.3166,,7.7951,7.0818,3.732,3.732,,-0.6699,-0.6699,
DX-Y.NYB,100.75,100.6500015258789,100.87000274658203,0.02,3.16,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-0.2179,-0.1091,1.4909,,4.911,4.6716,101.61,101.61,,-0.8464,-0.8464,
^N225,64141.12109375,62704.6015625,66441.7734375,-4.03,10.15,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-6.4422,-8.0336,7.2515,,42.5272,33.1449,72366.3438,72366.3438,,-11.3661,-11.3661,
^MERV,3199935.0,3145475.0,3206991.0,0.46,11.22,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-2.4477,1.3571,18.1717,,34.3299,33.2084,3291322.0,3353008.0,,-2.7766,-4.5652,
^NYA,23816.970703125,23761.349609375,23977.220703125,-0.56,3.13,BAJO,,,,,,,,,,,,,,NONE,0.4466,0.3589,0.5051,0.064793,5.9138,0.2817,69.55,,999,,,none,,,,,,,,,,-0.4518,-0.5848,4.463,,6.2041,10.4935,24075.1191,24075.1191,,-1.0723,-1.0723,
