fecha,hora,ticker_us,cedear,bid_ars,offer_ars,spread_ars_pct,prof_bids,prof_offers,qbid1,qoff1,qbid5,qoff5,ars_bid5,ars_off5,bid_d,offer_d,spread_d_pct,px_subyacente_usd,mep_al30,ratio,prima_mep_pct,prima_d_pct
2026-07-15,12:33,HSY,HSY,12700,12770,0.55,5,5,,,,,,,8.42,8.46,0.474,171.28,1511.71,21,3.29,3.48
2026-07-15,12:33,ANF,ANF,153000,153450,0.294,5,5,,,,,,,,,,98.29,1511.71,1,3.12,
2026-07-15,12:33,EBAY,EBAY,88050,88200,0.17,5,5,,,,,,,58.1,58.4,0.515,112.75,1511.71,2,3.41,3.33
2026-07-15,12:33,ABEV,ABEV,14330,14360,0.209,5,5,,,,,,,9.46,9.51,0.527,3.06,1511.71,0.333333,3.37,3.32
2026-07-15,12:33,UL,UL,31900,32000,0.313,5,5,,,,,,,20.84,21.22,1.807,,1511.71,3,,
2026-07-15,12:33,URBN,URBN,56950,57175,0.394,5,5,,,,,,,36.07,38.12,5.526,73.11,1511.71,2,3.26,1.48
2026-07-15,12:33,CL,CL,47360,47500,0.295,4,5,,,,,,,31.2,31.59,1.242,91.4,1511.71,3,2.98,3.05
2026-07-15,12:33,COST,COST,29940,30040,0.333,5,5,,,,,,,19.77,19.89,0.605,922.96,1511.71,48,3.17,3.13
2026-07-15,12:33,KMB,KMB,27920,28020,0.358,2,5,,,,,,,18.36,18.63,1.46,107.8,1511.71,6,2.98,2.94
2026-07-15,12:33,ORLY,ORLY,593.5,603,1.588,5,5,,,,,,,0.38,0.42,10.0,85.46,1511.71,222,2.8,3.91
2026-07-15,12:33,PM,PM,15430,15440,0.065,4,3,,,,,,,10.01,10.59,5.631,179,1511.71,18,2.67,3.58
2026-07-15,12:33,ETSY,ETSY,8435,8470,0.414,5,5,,,,,,,5.56,5.61,0.895,86.88,1511.71,16,2.97,2.85
2026-07-15,12:33,TM,TM,18360,18400,0.218,5,5,,,,,,,12.12,12.26,1.148,176.7,1511.71,15,3.21,3.48
2026-07-15,12:33,HMC,HMC,43400,43540,0.322,5,5,,,,,,,,,,27.81,1511.71,1,3.4,
2026-07-15,12:33,GM,GM,20130,20200,0.347,5,5,,,,,,,13.25,13.45,1.498,42.53,1511.71,6,88.19,88.34
2026-07-15,12:33,ARCO,ARCO,25440,25460,0.079,5,5,,,,,,,16.79,16.9,0.653,8.15,1511.71,0.5,3.28,3.34
2026-07-15,12:33,HD,HD,16780,16850,0.416,5,5,,,,,,,11.06,11.18,1.079,345.46,1511.71,32,3.03,3.0
2026-07-15,12:33,JNJ,JNJ,26180,26200,0.076,5,5,,,,,,,17.28,17.43,0.864,253.71,1511.71,15,2.43,2.61
2026-07-15,12:33,LLY,LLY,31940,31980,0.125,5,5,,,,,,,21.08,21.18,0.473,1141.86,1511.71,56,3.68,3.63
2026-07-15,12:33,NVO,NVO,11320,11370,0.441,5,5,,,,,,,7.46,7.55,1.199,50.75,1511.71,7,3.51,3.52
2026-07-15,12:33,AMGN,AMGN,18600,18690,0.483,5,4,,,,,,,12.26,12.39,1.055,357.75,1511.71,30,3.43,3.35
2026-07-15,12:33,UNH,UNH,19960,20010,0.25,5,5,,,,,,,13.18,13.25,0.53,422.74,1511.71,33,3.2,3.16
2026-07-15,12:33,PFE,PFE,9655,9680,0.259,5,5,,,,,,,6.37,6.42,0.782,24.71,1511.71,4,3.52,3.52
2026-07-15,12:33,ABT,ABT,34960,35040,0.229,5,5,,,,,,,23.02,23.18,0.693,89.8,1511.71,4,3.13,2.9
2026-07-15,12:33,CVS,CVS,11130,11190,0.538,5,5,,,,,,,7.34,7.4,0.814,107.04,1511.71,15,3.45,3.28
2026-07-15,12:33,ABBV,ABBV,38560,38660,0.259,5,5,,,,,,,25.55,25.65,0.391,246.99,1511.71,10,3.41,3.65
2026-07-15,12:33,TMO,TMO,38060,38160,0.262,5,5,,,,,,,,,,537.69,1511.71,22,3.15,
2026-07-15,12:33,AZN,AZN,66025,66150,0.189,5,5,,,,,,,43.57,43.78,0.481,121.1,1511.71,4,44.4,44.26
2026-07-15,12:33,CAH,CAH,118500,118825,0.274,5,5,,,,,,,75.3,79.2,5.049,228.38,1511.71,3,3.11,1.48
2026-07-15,12:33,ISRG,ISRG,6785,6830,0.661,5,5,,,,,,,,,,392.24,1511.71,90,3.33,
2026-07-15,12:33,MRNA,MRNA,5485,5520,0.636,5,5,,,,,,,3.62,3.66,1.099,67.08,1511.71,19,3.1,3.1
2026-07-15,12:33,PHG,PHG,8430,8465,0.414,5,5,,,,,,,,,,27.03,1511.71,5,3.37,
2026-07-15,12:33,MRK,MRK,38480,38560,0.208,5,5,,,,,,,25.39,25.52,0.511,123.5,1511.71,5,3.16,3.06
2026-07-15,12:33,HIMS,HIMS,14450,14500,0.345,5,5,,,,,,,9.27,9.62,3.706,36.64,1511.71,4,4.53,3.11
2026-07-15,12:33,CAT,CAT,70775,70975,0.282,5,5,,,,,,,46.72,46.98,0.555,904.04,1511.71,20,3.72,3.65
2026-07-15,12:33,GE,GE,69525,69675,0.216,5,4,,,,,,,45.99,46.12,0.282,356.79,1511.71,8,3.23,3.27
2026-07-15,12:33,LMT,LMT,40200,40320,0.298,5,5,,,,,,,26.52,26.68,0.602,516.45,1511.71,20,3.14,3.01
2026-07-15,12:33,UAL,UAL,38040,38180,0.367,5,5,,,,,,,25.1,25.27,0.675,121.93,1511.71,5,3.38,3.28
2026-07-15,12:33,F,F,22240,22300,0.269,5,5,,,,,,,14.68,14.76,0.543,14.28,1511.71,1,3.16,3.08
2026-07-15,12:33,AAL,AAL,12380,12410,0.242,5,5,,,,,,,8.17,8.22,0.61,15.84,1511.71,2,3.53,3.47
2026-07-15,12:33,FDX,FDX,49520,49640,0.242,5,5,,,,,,,32.19,33.04,2.606,318.36,1511.71,10,3.02,2.45
2026-07-15,12:33,PCAR,PCAR,64225,64400,0.272,5,5,,,,,,,28,44,44.444,,1511.71,3,,
2026-07-15,12:33,MMM,MMM,25100,25160,0.239,5,5,,,,,,,16.53,16.7,1.023,160.87,1511.71,10,3.34,3.28
2026-07-15,12:33,PAC,PAC,22090,22300,0.946,5,5,,,,,,,,,,226.22,1511.71,16,3.84,
2026-07-15,12:33,GT,GT,5415,5450,0.644,5,5,,,,,,,3.56,3.65,2.497,6.95,1511.71,2,3.41,3.74
2026-07-15,12:33,BA,BA,14320,14370,0.349,5,5,,,,,,,9.46,9.52,0.632,220.71,1511.71,24,3.19,3.19
2026-07-15,12:33,HON,HON,43640,43780,0.32,4,5,,,,,,,27.92,29.27,4.721,224.75,1511.71,8,2.92,1.78
2026-07-15,12:33,MOS,MOS,7000,7025,0.357,5,5,,,,,,,4.6,4.67,1.51,22.48,1511.71,5,3.18,3.09
2026-07-15,12:33,RKLB,RKLB,10030,10080,0.497,5,5,,,,,,,6.57,6.71,2.108,77.06,1511.71,12,3.58,3.4
2026-07-15,12:33,ONDS,ONDS,5405,5445,0.737,5,5,,,,,,,3.57,3.62,1.391,6.98,1511.71,2,2.83,3.01
2026-07-15,12:33,SMSN,SMSN,100,0,,2,1,,,,,,,,,,,1511.71,14,,
2026-07-15,12:33,BAYN,BAYN,100,0,,2,1,,,,,,,,,,,1511.71,3,,
2026-07-15,12:33,RIOT,RIOT,10280,10310,0.291,5,5,,,,,,,6.78,6.84,0.881,19.72,1511.71,3,3.6,3.6
2026-07-15,12:33,OKLO,OKLO,2520,2525,0.198,5,5,,,,,,,1.66,1.68,1.198,45.17,1511.71,28,3.44,3.52
2026-07-15,12:33,SATL,SATL,6350,6355,0.079,5,5,,,,,,,4.19,4.2,0.238,4.07,1511.71,1,3.25,3.07
2026-07-15,12:33,JMIA,JMIA,10920,10950,0.274,5,5,,,,,,,7.2,7.25,0.692,6.92,1511.71,1,4.53,4.41
2026-07-15,12:33,LAR,LAR,10950,11000,0.456,5,5,,,,,,,7.25,7.29,0.55,7.08,1511.71,1,2.54,2.68
2026-07-15,12:33,NG,NG,36180,36300,0.331,5,5,,,,,,,23.69,24.71,4.215,9.53,1511.71,0.25,-37.11,-36.52
2026-07-15,12:33,PBI,PBI,28700,28820,0.417,5,3,,,,,,,,,,14.68,1511.71,1,29.6,
2026-07-15,12:33,TEM,TEM,7540,7565,0.331,5,4,,,,,,,5,5.03,0.598,58.24,1511.71,12,2.94,3.33
2026-07-15,12:33,GLOB,GLOB,2805,2815,0.356,5,5,,,,,,,1.85,1.86,0.539,32.39,1511.71,18,3.3,3.09
2026-07-15,12:33,LND,LND,5725,5760,0.609,5,5,,,,,,,,,,3.73,1511.71,1,1.84,
2026-07-20,16:23,MA,MA,26040,26080,0.153,5,5,,,,,,,17.2,17.26,0.348,546.72,1513.24,33,3.95,4.0
2026-07-20,16:23,AMX,AMX,41080,41200,0.292,5,4,,,,,,,26.87,27.6,2.68,26.15,1513.24,1,3.96,4.15
2026-07-20,16:23,NVS,NVS,58925,59050,0.212,5,5,,,,,,,38.25,39.7,3.72,150.41,1513.24,4,3.67,3.65
2026-07-20,16:23,PYPL,PYPL,11150,11180,0.269,5,5,,,,,,,7.35,7.37,0.272,56.81,1513.24,8,3.9,3.64
2026-07-20,16:23,GILD,GILD,52350,52450,0.191,5,5,,,,,,,33.74,35.12,4.008,133.42,1513.24,4,3.82,3.22
2026-07-20,16:23,DIS,DISN,12600,12640,0.317,5,5,,,,,,,8.34,8.38,0.478,96.32,1513.24,12,3.9,4.15
2026-07-20,16:23,AAPL,AAPL,25820,25840,0.077,5,5,,,,,,,17.04,17.06,0.117,327.32,1513.24,20,4.3,4.18
2026-07-20,16:23,UNP,UNP,23280,23340,0.257,4,5,,,,,,,15.27,15.57,1.946,296.24,1513.24,20,4.0,4.1
2026-07-20,16:23,KO,KO,25720,25760,0.155,5,5,,,,,,,17.01,17.04,0.176,81.69,1513.24,5,4.11,4.2
2026-07-20,16:23,BMY,BMY,31520,31600,0.253,5,5,,,,,,,20.71,21.05,1.628,60.33,1513.24,3,3.71,3.83
2026-07-20,16:23,RTX,RTX,61175,61350,0.286,5,5,,,,,,,40.5,40.68,0.443,194.68,1513.24,5,3.98,4.25
